ds,yhat,yhat_lower,yhat_upper
2015-05-26,1173.9567299939465,-1473.0098603844494,3966.3877324131768
2015-05-28,1542.1681758686284,-1090.000943341222,4349.635798168622
2015-05-29,1820.368174756079,-1097.787829943179,4387.284812130567
2015-05-30,1432.716351104702,-1311.6324415591575,4175.75900837356
2015-05-31,1621.469563198608,-993.1923493809386,4392.635807752805
2015-06-01,1832.0504057669232,-827.9182773766173,4570.864679057408
2015-06-04,1561.9638213265914,-1241.7801233386706,4312.392701556076
2015-06-05,1814.1999545441324,-793.0337285642163,4638.351722732145
2015-06-07,1567.4421683138135,-1243.3593267903427,4254.054731715257
2015-06-08,1757.0159756569706,-966.5185126801497,4527.492694752219
2015-06-09,1153.5543837375376,-1459.6443455590193,3792.773571823447
2015-06-11,1439.5418642588925,-1089.1829819318393,4098.009868496075
2015-06-12,1681.8477502421356,-846.9772170139008,4498.241684645122
2015-06-13,1262.5609501295694,-1702.6315737534474,4063.157192016114
2015-06-14,1424.3702198960546,-1115.8512814374149,4379.976067405099
2015-06-15,1612.9988633936757,-1441.037966888783,4381.671160066587
2015-06-16,1011.315579565596,-1692.8515181105815,3749.1884867631807
2015-06-18,1308.018685253289,-1583.1769761235525,4036.782539322905
2015-06-19,1558.6427705694996,-1175.941629100544,4472.660915630455
2015-06-20,1149.1810758491533,-1703.699311957174,3978.3255799549643
2015-06-21,1321.9490484908692,-1428.2123702371205,3921.382572440649
2015-06-22,1522.2919332095576,-1330.65652824773,4200.081187560757
2015-06-23,932.7068553067421,-1704.7922856379155,3779.9142872279585
2015-06-25,1253.441732789409,-1571.5826203405354,4110.264967789492
2015-06-26,1515.3413033731347,-968.937449432512,4097.214841375812
2015-06-28,1298.4690789875715,-1511.6171474001635,4141.30967833787
2015-06-29,1507.0019938391333,-1202.0926555144292,3986.06829128622
2015-07-02,1254.724612201073,-1396.242284250369,3941.2356611192317
2015-07-03,1519.5064690518266,-1366.9109934216485,4194.405323963613
2015-07-04,1122.1682599660928,-1478.2554784707254,3870.865654188289
2015-07-05,1304.954841480485,-1326.3719379851661,4048.5100272173327
2015-07-06,1513.2221444219315,-1267.8406158608452,4214.824256328754
2015-07-08,60.78824748609486,-2813.387866313447,2810.503331040621
2015-07-09,1256.692306182827,-1177.759157816648,3957.253903178444
2015-07-10,1519.5839381243322,-1089.9147905651637,4408.30263973717
2015-07-11,1120.4493282134226,-1506.923824220088,3632.120216496691
2015-07-12,1301.7098039363202,-1625.682122129131,3878.4347437749752
2015-07-13,1508.874053836258,-1069.8252347903133,4153.336168789976
2015-07-14,924.6490714176894,-1823.2210900055754,3682.770177514914
2015-07-16,1252.643732626498,-1326.3231948018886,4006.44027249633
2015-07-17,1517.0209117762906,-1447.5809347037098,4354.672975025179
2015-07-18,1120.0649801270129,-1561.8386093862157,3982.6555324429187
2015-07-19,1304.1443273415302,-1579.0827542344286,4174.26434746231
2015-07-20,1514.6829663714257,-1308.8391869109155,4210.356213530238
2015-07-23,1270.6841689099153,-1336.0735142507856,4069.8826259741018
2015-07-24,1539.3487723747942,-1181.7706766438084,4245.093322856995
2015-07-25,1146.5210433342743,-1687.5623278932064,3743.0984908637674
2015-07-26,1334.4153984070422,-1463.225432897616,4168.30664030436
2015-07-27,1548.315359442757,-1323.1536965630414,4155.972670698258
2015-07-30,1310.6185689217814,-1228.7218666831393,4027.4676901898683
2015-07-31,1579.9254856398475,-1072.1771560418267,4372.46982281754
2015-08-01,1187.0053193159101,-1557.7536683573871,4074.722340094741
2015-08-02,1374.130919381203,-1556.7366062271324,3949.122830017827
2015-08-05,142.8244867708263,-2689.895033950759,2961.6919119372797
2015-08-06,1343.1168799367063,-1400.0184423800977,3923.723512479028
2015-08-07,1610.5664869131745,-1002.4310944692916,4292.198037988914
2015-08-08,1216.2656205970097,-1491.9355074645632,3836.797116118381
2015-08-09,1402.770164825387,-1358.7200579853738,3996.5702083368565
2015-08-10,1615.7542192661017,-1030.9769990133195,4470.454277502012
2015-08-11,1038.1222454587646,-1743.5124133464149,3914.947077986443
2015-08-13,1382.5701688277004,-1004.1682778292331,4319.367928104716
2015-08-15,1272.6619217351013,-1437.8798524508961,4030.910088893299
2015-08-16,1471.306060717773,-1296.08010635744,4173.461449981372
2015-08-17,1698.9253194636833,-980.6363862388739,4556.06881033537
2015-08-21,1823.5034103127214,-927.3463837124502,4563.255273739381
2015-08-22,1464.9510103614157,-1518.9083732244565,4133.924086713294
2015-08-23,1691.2526824333004,-1064.2537590105328,4403.979840351622
2015-08-24,1947.7932397161137,-790.0139154739243,4813.2890666821995
2015-08-25,1417.0716722992504,-1349.684936969183,4338.827712365058
2015-08-27,1863.2185313200778,-882.4820800641531,4417.124040674078
2015-08-28,2191.4377587032836,-551.6048278300358,4828.024920519488
2015-08-29,1860.8491678421574,-952.1464303551631,4625.049192815928
2015-08-31,2393.470737688378,-270.26412728254803,4984.602113205499
2015-09-01,1883.4286563678543,-818.7975771834042,4413.7358379994985
2015-09-03,2359.8561308601957,-418.0460598744796,5211.001529669497
2015-09-04,2696.7342133515085,-86.49393187295873,5453.946074307777
2015-09-05,2369.9471653683486,-317.29435744180233,5040.7860937223195
2015-09-06,2620.9798166876885,-2.7337045755380265,5580.526334954181
2015-09-07,2894.397770864546,191.95700247322284,5609.660976503964
2015-09-08,2371.97752454325,-190.92177771493218,4921.139049079957
2015-09-10,2806.689483878913,275.58763814309543,5610.567539216737
2015-09-11,3114.349342651184,579.8741880603255,5935.600393218002
2015-09-12,2753.0007950936633,279.66182853395384,5463.841903671068
2015-09-13,2964.4123727158476,277.9686648908378,5696.680863110632
2015-09-14,3193.5180106817925,463.15758272908363,5867.33361245539
2015-09-15,2622.541960826293,132.39104362149084,5321.318725123396
2015-09-16,1758.0364876435535,-864.9187358613862,4469.513858500895
2015-09-17,2949.559209450267,163.12550954968304,5580.710311165248
2015-09-18,3199.307477690918,391.91330017351515,5844.664700154219
2015-09-19,2778.239846920197,131.28665588054702,5647.891486348224
2015-09-20,2928.848880724825,399.14196493606715,5753.6128558980845
2015-09-21,3096.8175899055987,513.1857931088294,5763.386772714258
2015-09-22,2465.1331811307546,-168.1418013546229,5087.203891937211
2015-09-24,2675.073366363801,57.939391941405,5427.52097182475
2015-09-25,2869.9479343997737,52.89956327126042,5706.039445043784
2015-09-26,2397.4040206370205,-366.21998633691015,4990.412336639975
2015-09-27,2500.6030591875865,-129.67756539329787,5101.687770936065
2015-09-28,2625.8485416157077,-102.81711456733676,5210.735853232961
2015-10-01,2109.3686862205777,-659.3506201777706,4857.446213958688
2015-10-02,2285.237061083063,-532.4496612287963,4808.800237229264
2015-10-03,1800.4967397067971,-976.1629458543182,4625.691990822478
2015-10-04,1898.501000755553,-838.0527527954295,4621.855768062516
2015-10-05,2025.840637463209,-780.8989211705639,4887.033925188009
